Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,PM10,12/04/2006 00:00,8.00000,ug/m3,R
CT3,PM10,13/04/2006 00:00,10.00000,ug/m3,R
CT3,PM10,14/04/2006 00:00,7.00000,ug/m3,R
CT3,PM10,15/04/2006 00:00,32.00000,ug/m3,R
CT3,PM10,16/04/2006 00:00,17.00000,ug/m3,R
CT3,PM10,17/04/2006 00:00,3.00000,ug/m3,R
CT3,PM10,18/04/2006 00:00,12.00000,ug/m3,R
CT3,PM10,19/04/2006 00:00,11.00000,ug/m3,R
CT3,PM10,20/04/2006 00:00,9.00000,ug/m3,R
CT3,PM10,21/04/2006 00:00,25.00000,ug/m3,R
CT3,PM10,22/04/2006 00:00,14.00000,ug/m3,R
CT3,PM10,23/04/2006 00:00,19.00000,ug/m3,R
CT3,PM10,24/04/2006 00:00,41.00000,ug/m3,R
CT3,PM10,25/04/2006 00:00,34.00000,ug/m3,R
CT3,PM10,26/04/2006 00:00,16.00000,ug/m3,R
CT3,PM10,27/04/2006 00:00,19.00000,ug/m3,R
CT3,PM10,28/04/2006 00:00,17.00000,ug/m3,R
CT3,PM10,29/04/2006 00:00,5.00000,ug/m3,R
CT3,PM10,30/04/2006 00:00,10.00000,ug/m3,R
CT3,PM10,01/05/2006 00:00,3.00000,ug/m3,R
CT3,PM10,02/05/2006 00:00,9.00000,ug/m3,R
CT3,PM10,03/05/2006 00:00,12.00000,ug/m3,R
CT3,PM10,04/05/2006 00:00,41.00000,ug/m3,R
CT3,PM10,05/05/2006 00:00,15.00000,ug/m3,R
CT3,PM10,06/05/2006 00:00,11.00000,ug/m3,R
CT3,PM10,07/05/2006 00:00,14.00000,ug/m3,R
CT3,PM10,08/05/2006 00:00,29.00000,ug/m3,R
CT3,PM10,09/05/2006 00:00,29.00000,ug/m3,R
CT3,PM10,10/05/2006 00:00,35.00000,ug/m3,R
CT3,PM10,11/05/2006 00:00,23.00000,ug/m3,R
CT3,PM10,12/05/2006 00:00,37.00000,ug/m3,R
CT3,PM10,13/05/2006 00:00,24.00000,ug/m3,R
CT3,PM10,14/05/2006 00:00,18.00000,ug/m3,R
CT3,PM10,15/05/2006 00:00,22.00000,ug/m3,R
CT3,PM10,16/05/2006 00:00,9.00000,ug/m3,R
CT3,PM10,17/05/2006 00:00,10.00000,ug/m3,R
CT3,PM10,18/05/2006 00:00,15.00000,ug/m3,R
CT3,PM10,19/05/2006 00:00,6.00000,ug/m3,R
CT3,PM10,20/05/2006 00:00,6.00000,ug/m3,R
CT3,PM10,21/05/2006 00:00,7.00000,ug/m3,R
CT3,PM10,22/05/2006 00:00,10.00000,ug/m3,R
CT3,PM10,23/05/2006 00:00,4.00000,ug/m3,R
CT3,PM10,24/05/2006 00:00,7.00000,ug/m3,R
CT3,PM10,25/05/2006 00:00,3.00000,ug/m3,R
CT3,PM10,26/05/2006 00:00,8.00000,ug/m3,R
CT3,PM10,27/05/2006 00:00,2.00000,ug/m3,R
CT3,PM10,28/05/2006 00:00,7.00000,ug/m3,R
CT3,PM10,29/05/2006 00:00,2.00000,ug/m3,R
CT3,PM10,30/05/2006 00:00,4.00000,ug/m3,R
CT3,PM10,31/05/2006 00:00,6.00000,ug/m3,R
CT3,PM10,01/06/2006 00:00,10.00000,ug/m3,R
CT3,PM10,02/06/2006 00:00,,ug/m3,R
CT3,PM10,03/06/2006 00:00,,ug/m3,R
CT3,PM10,04/06/2006 00:00,,ug/m3,R
CT3,PM10,05/06/2006 00:00,,ug/m3,R
CT3,PM10,06/06/2006 00:00,,ug/m3,R
CT3,PM10,07/06/2006 00:00,20.00000,ug/m3,R
CT3,PM10,08/06/2006 00:00,22.00000,ug/m3,R
CT3,PM10,09/06/2006 00:00,30.00000,ug/m3,R
CT3,PM10,10/06/2006 00:00,29.00000,ug/m3,R
CT3,PM10,11/06/2006 00:00,14.00000,ug/m3,R
CT3,PM10,12/06/2006 00:00,16.00000,ug/m3,R
CT3,PM10,13/06/2006 00:00,20.00000,ug/m3,R
CT3,PM10,14/06/2006 00:00,13.00000,ug/m3,R
CT3,PM10,15/06/2006 00:00,10.00000,ug/m3,R
CT3,PM10,16/06/2006 00:00,18.00000,ug/m3,R
CT3,PM10,17/06/2006 00:00,22.00000,ug/m3,R
CT3,PM10,18/06/2006 00:00,17.00000,ug/m3,R
CT3,PM10,19/06/2006 00:00,8.00000,ug/m3,R
CT3,PM10,20/06/2006 00:00,8.00000,ug/m3,R
CT3,PM10,21/06/2006 00:00,12.00000,ug/m3,R
CT3,PM10,22/06/2006 00:00,9.00000,ug/m3,R
CT3,PM10,23/06/2006 00:00,12.00000,ug/m3,R
CT3,PM10,24/06/2006 00:00,11.00000,ug/m3,R
CT3,PM10,25/06/2006 00:00,22.00000,ug/m3,R
CT3,PM10,26/06/2006 00:00,15.00000,ug/m3,R
CT3,PM10,27/06/2006 00:00,10.00000,ug/m3,R
CT3,PM10,28/06/2006 00:00,13.00000,ug/m3,R
CT3,PM10,29/06/2006 00:00,20.00000,ug/m3,R
CT3,PM10,30/06/2006 00:00,17.00000,ug/m3,R
CT3,PM10,01/07/2006 00:00,31.00000,ug/m3,R
CT3,PM10,02/07/2006 00:00,20.00000,ug/m3,R
CT3,PM10,03/07/2006 00:00,,ug/m3,R
CT3,PM10,04/07/2006 00:00,31.00000,ug/m3,R
CT3,PM10,05/07/2006 00:00,48.00000,ug/m3,R
CT3,PM10,06/07/2006 00:00,17.00000,ug/m3,R
CT3,PM10,07/07/2006 00:00,,ug/m3,R
CT3,PM10,08/07/2006 00:00,,ug/m3,R
CT3,PM10,09/07/2006 00:00,,ug/m3,R
CT3,PM10,10/07/2006 00:00,,ug/m3,R
CT3,PM10,11/07/2006 00:00,9.00000,ug/m3,R
CT3,PM10,12/07/2006 00:00,14.00000,ug/m3,R
CT3,PM10,13/07/2006 00:00,9.00000,ug/m3,R
CT3,PM10,14/07/2006 00:00,19.00000,ug/m3,R
CT3,PM10,15/07/2006 00:00,,ug/m3,R
CT3,PM10,16/07/2006 00:00,,ug/m3,R
CT3,PM10,17/07/2006 00:00,,ug/m3,R
CT3,PM10,18/07/2006 00:00,,ug/m3,R
CT3,PM10,19/07/2006 00:00,,ug/m3,R
CT3,PM10,20/07/2006 00:00,29.00000,ug/m3,R
CT3,PM10,21/07/2006 00:00,26.00000,ug/m3,R
CT3,PM10,22/07/2006 00:00,17.00000,ug/m3,R
CT3,PM10,23/07/2006 00:00,10.00000,ug/m3,R
CT3,PM10,24/07/2006 00:00,,ug/m3,R
CT3,PM10,25/07/2006 00:00,,ug/m3,R
CT3,PM10,26/07/2006 00:00,,ug/m3,R
CT3,PM10,27/07/2006 00:00,,ug/m3,R
CT3,PM10,28/07/2006 00:00,,ug/m3,R
CT3,PM10,29/07/2006 00:00,,ug/m3,R
CT3,PM10,30/07/2006 00:00,,ug/m3,R
CT3,PM10,31/07/2006 00:00,,ug/m3,R
CT3,PM10,01/08/2006 00:00,,ug/m3,R
CT3,PM10,02/08/2006 00:00,,ug/m3,R
CT3,PM10,03/08/2006 00:00,,ug/m3,R
CT3,PM10,04/08/2006 00:00,,ug/m3,R
CT3,PM10,05/08/2006 00:00,,ug/m3,R
CT3,PM10,06/08/2006 00:00,,ug/m3,R
CT3,PM10,07/08/2006 00:00,,ug/m3,R
CT3,PM10,08/08/2006 00:00,,ug/m3,R
CT3,PM10,09/08/2006 00:00,,ug/m3,R
CT3,PM10,10/08/2006 00:00,,ug/m3,R
CT3,PM10,11/08/2006 00:00,,ug/m3,R
CT3,PM10,12/08/2006 00:00,,ug/m3,R
CT3,PM10,13/08/2006 00:00,,ug/m3,R
CT3,PM10,14/08/2006 00:00,,ug/m3,R
CT3,PM10,15/08/2006 00:00,,ug/m3,R
CT3,PM10,16/08/2006 00:00,,ug/m3,R
CT3,PM10,17/08/2006 00:00,,ug/m3,R
CT3,PM10,18/08/2006 00:00,,ug/m3,R
CT3,PM10,19/08/2006 00:00,,ug/m3,R
CT3,PM10,20/08/2006 00:00,,ug/m3,R
CT3,PM10,21/08/2006 00:00,,ug/m3,R
CT3,PM10,22/08/2006 00:00,,ug/m3,R
CT3,PM10,23/08/2006 00:00,,ug/m3,R
CT3,PM10,24/08/2006 00:00,,ug/m3,R
CT3,PM10,25/08/2006 00:00,,ug/m3,R
CT3,PM10,26/08/2006 00:00,,ug/m3,R
CT3,PM10,27/08/2006 00:00,,ug/m3,R
CT3,PM10,28/08/2006 00:00,,ug/m3,R
CT3,PM10,29/08/2006 00:00,,ug/m3,R
CT3,PM10,30/08/2006 00:00,,ug/m3,R
CT3,PM10,31/08/2006 00:00,,ug/m3,R
CT3,PM10,01/09/2006 00:00,,ug/m3,R
CT3,PM10,02/09/2006 00:00,,ug/m3,R
CT3,PM10,03/09/2006 00:00,,ug/m3,R
CT3,PM10,04/09/2006 00:00,,ug/m3,R
